Word	Timing	Adriana	Eliana	Silas	FOMA
sentu	321.11				sɛ̃ty
tants	321.45				tã
de	321.64				də
coups	321.74				kup
Ouè	322.455				uè
qui	323.435				ki
dit	323.77				di
que	324.495				kə
hen	325.05				ɛ̃
l	325.28				l
est	325.31				ɛs
acapitâ	325.43				akapita
en	326.295				ɛ̃
Vassavarentse	326.42				vasavaʁɛ̃tsə
a	327.58				a
Montandayné	327.93				mõtãdajne
qui	329.26				ki
a	329.85				a
Tsamportcher	329.88				tsampoʁt͡ʃɛʁ
en	330.85				ɛ̃
alent	330.97				alɛ̃
di	331.09				di
couté	331.21				kute
dis	331.79				di
montagnes	331.9				mõtaɲə
de	332.45				də
Fénis	332.57				feni
toteun	333.0				totə̃
la	333.45				la
conta	333.55				kõta
l	333.82				l
est	333.85				ɛs
la	333.88				la
mema	333.96				mɛma
À	334.715				à
cosa	335.51				koza
d	335.82				d
an	335.9				ã
groussa	336.07				gʁusa
plodjà	336.4				plodʒà
lo	336.87				lo
Rei	337.08				ʁej
et	337.615				ɛtː
d	338.07				d
atres	338.13				atʁə
se	338.655				sə
sont	339.03				sõ
trouvâs	339.2				tʁuva
a	339.715				a
faleir	339.91				falejʁ
trincaillier	340.37				tʁĩkaʎjɛʁ
a	341.27				a
piàs	341.69				pià
un	342.145				œ̃
torront	342.52				torõ
et	343.34				ɛtː
un	343.8				œ̃
certen	344.04				sɛʁtɛ̃
Borettaz	344.74				boʁɛtta
un	345.74				œ̃
homo	346.15				omo
que	346.35				kə
fejet	346.49				fejɛtː
la	346.8				la
gueda	346.9				ʒɛda
et	347.22				ɛtː
que	347.515				kə
l	347.63				l
ayet	347.74				ajɛtː
l	347.99				l
etsena	348.02				ɛtsɛ̃a
solida	348.44				solida
l	349.615				l
at	350.17				a
gavâ	350.25				gava
les	350.78				lə
bottes	350.86				bottə
rebratâ	351.01				ʁɛbʁata
les	351.53				lə
pantalons	351.56				pãtalõ
et	352.385				ɛtː
l	352.88				l
at	352.93				a
preis	353.0				pʁej
lo	353.47				lo
Rei	353.88				ʁej
su	354.16				sy
les	354.26				lə
epales	354.29				ɛpalə
per	354.68				pɛʁ
lo	354.79				lo
porter	354.89				poʁtɛʁ
de	355.27				də
l	355.33				l
atro	355.4				atʁə
couté	355.63				kute
Quand	356.9				kãd
t	357.96				
arrevâ	357.99				arɛva
i	358.21				i
menten	358.29				mɛ̃tɛ̃
lo	359.05				lo
fret	359.44				fʁɛtː
is	359.72				i
piàs	359.76				pià
et	360.28				ɛtː
les	360.57				lə
berios	360.64				bɛʁjo
desot	361.06				dɛzo
l	361.955				l
ant	362.05				ã
feit	362.24				fej
lo	362.42				lo
tchica	362.52				t͡ʃika
trancaler	362.85				tʁãkalɛʁ
et	363.975				ɛtː
en	364.42				ɛ̃
pensent	364.56				pɛ̃sɛ̃
d	364.84				d
étre	364.89				etʁə
pâs	365.3				pa
compreis	365.61				kompʁej
l	366.495				l
est	366.61				ɛs
escapâ	366.71				ɛskapa
lei	367.27				lej
de	367.45				də
dire	367.57				diʁə
Tchant	368.21				t͡ʃã
té	368.8				te
su	368.92				sy
ono	369.44				õo
Cen	370.865				sɛ̃
que	371.86				kə
lo	371.9				lo
Rei	372.1				ʁej
l	372.44				l
at	372.47				a
repondu	372.54				ʁɛpõdy
dz	373.3				d
ei	373.56				ej
sentu	373.62				sɛ̃ty
lo	373.94				lo
dedens	374.525				dɛdɛ̃
daves	375.06				davə
magnéres	375.25				maɲeʁə
una	375.93				œ̃a
en	376.47				ɛ̃
francés	376.56				fʁãke
Qui	377.73				ki
est	378.5				ɛs
l	378.75				l
âne	378.81				anə
celui	379.46				sɛlyi
qui	380.12				ki
est	380.21				ɛs
dessus	380.26				dɛsy
ou	380.67				u
celui	381.195				sɛlyi
qui	381.89				ki
le	382.05				lə
porte	382.1				poʁtə
et	382.54				ɛtː
l	383.23				l
atra	383.81				atʁa
en	384.09				ɛ̃
piemonteis	384.26				pjɛmõtej
mis	385.04				mi
que	385.3				kə
dit	385.36				di
la	385.57				la
mema	385.64				mɛma
baga	385.91				baga
Ma	386.68				ma
salo	387.24				salo
nen	387.51				nɛ̃
chel	387.9				ʃɛl
que	388.51				kə
l	388.9				l
aso	389.0				azo
a	389.675				a
l	389.95				l
è	389.98				è
cul	390.12				kyl
ca	390.34				ka
porta	390.49				poʁta
Come	391.635				komə
dire	392.44				diʁə
que	392.975				kə
l	393.25				l
ayet	393.38				ajɛtː
un	393.69				œ̃
bon	393.82				bõ
esprit	394.08				ɛspʁi
se	394.965				sə
la	395.49				la
conta	395.68				kõta
l	396.03				l
est	396.06				ɛs
véra	396.14				veʁa
L	397.955				l
ére	399.36				eʁə
etot	399.5				ɛto
bien	399.96				biɛ̃
genereus	400.19				gɛ̃ɛʁə
lat	400.995				la
inco	401.28				ĩko
deut	401.47				də
Vitorien	401.64				vitoʁiɛ̃
quetave	402.27				kɛtavə
des	402.72				də
souts	402.75				su
dapertot	403.27				dapɛʁto
yeu	403.83				yə
alave	403.96				alavə
per	404.42				pɛʁ
la	404.52				la
parotse	404.58				paʁotsə
per	405.14				pɛʁ
les	405.31				lə
pouros	405.43				puʁo
baillave	405.87				baʎavə
quaques	406.3				kakə
pieces	406.57				pjɛsə
is	406.83				i
meinàs	406.89				mɛĩà
et	407.695				ɛtː
a	407.94				a
cices	408.0				ʃsə
que	408.27				kə
recontrave	408.3				ʁɛkõtʁavə
su	409.04				sy
son	409.17				sõ
passadzo	409.36				pasadzo
Conta	410.35				kõta
lei	411.05				lej
té	411.25				te
papa	411.48				papa
çala	411.92				sala
de	412.35				də
la	412.46				la
fena	412.76				fɛ̃a
de	413.09				də
Vassavarentse	413.17				vasavaʁɛ̃tsə
A	415.13				a
vére	416.43				veʁə
Batista	416.59				batista
content	417.12				kõtɛ̃
et	417.5				ɛtː
interessâ	417.735				ĩtɛʁɛsa
paré	418.5				paʁe
de	418.81				də
sentir	418.94				sɛ̃tiʁ
predjier	419.31				pʁɛdʒjɛʁ
di	419.65				di
Rei	419.76				ʁej
Tounin	420.41				tunĩ
l	420.98				l
at	421.32				a
continuâ	421.64				kõtĩya
volontcher	422.1				volõt͡ʃɛʁ
Ço	423.595				so
l	424.74				l
est	424.84				ɛs
acapitâ	425.03				akapita
semble	425.54				sɛmblə
a	426.08				a
Vers	426.21				vɛʁ
le	426.36				lə
Bois	426.58				boi
lé	427.895				le
damont	428.94				damõ
Dziou	429.35				dʒu
Dégioz	430.135				deʒjo
Djaque	430.87				dʒakə
l	431.525				l
ére	432.1				eʁə
pâs	432.19				pa
liu	432.35				ljy
que	432.71				kə
baillave	432.74				baʎavə
les	433.12				lə
souts	433.18				su
l	433.6				l
ére	433.68				eʁə
un	433.84				œ̃
fonchonero	433.96				fõʃõɛʁo
que	434.76				kə
l	434.79				l
ayet	434.85				ajɛtː
daves	435.07				davə
grousses	435.41				gʁusə
bourses	435.63				buʁsə
plenes	435.88				plɛ̃ə
et	436.65				ɛtː
di	437.15				di
temps	437.28				tɛmp
que	437.55				kə
n	437.58				n
ayet	437.65				ajɛtː
distribuave	438.04				distʁibyavə
a	438.61				a
totes	438.75				totə
ocajons	439.04				okajõ
Cit	439.805				ʃ
coup	440.26				kup
lé	440.42				le
baillave	440.955				baʎavə
des	441.76				də
souts	441.87				su
renque	442.715				ʁɛ̃kə
is	443.2				i
females	443.3				fɛmalə
que	443.73				kə
l	443.92				l
ayant	444.03				ajã
des	444.35				də
garçons	444.42				gaʁsõ
dzovenos	445.18				dzovɛ̃o
perqué	445.85				pɛʁke
se	446.465				sə
sât	446.83				sa
les	447.38				lə
homos	447.66				omo
pouvont	447.99				puvõ
tcheuts	448.36				t͡ʃə
venir	448.75				vɛ̃iʁ
sordats	449.13				soʁda
Tot	450.24				to
p	451.06				p
un	451.11				œ̃
moment	451.37				momɛ̃
an	451.77				ã
fena	452.07				fɛ̃a
s	452.38				
est	452.46				ɛs
aprotchaye	452.55				apʁot͡ʃajə
a	453.415				a
demander	453.66				dɛmãdɛʁ
des	454.07				də
souts	454.19				su
en	454.95				ɛ̃
dient	455.34				diɛ̃
que	455.4				kə
lieu	455.43				liə
l	456.015				l
ayet	456.52				ajɛtː
sat	457.15				sa
megnotes	457.66				mɛɲotə
Et	458.845				ɛtː
lo	459.52				lo
Rei	459.71				ʁej
l	459.92				l
at	459.95				a
deut	460.03				də
Avec	460.76				avɛk
les	461.52				lə
femmes	461.61				fɛmmə
je	462.45				ʒə
ne	462.94				nə
conquiers	463.14				kõkjɛʁ
pas	463.54				pa
l	463.76				l
Italie	463.79				italjə
l	464.835				l
ére	465.38				eʁə
pi	465.51				pi
inco	465.71				ĩko
renque	465.94				ʁɛ̃kə
Rei	466.16				ʁej
de	466.48				də
Sardegne	466.62				saʁdɛɲə
a	467.725				a
cit	468.21				ʃ
temps	468.42				tɛmp
lé	468.6				le
La	469.53				la
fena	470.35				fɛ̃a
adonc	470.67				adõk
l	471.26				l
at	471.31				a
repondu	471.41				ʁɛpõdy
Votre	472.495				votʁə
Majesté	473.73				majɛste
il	475.085				il
n	475.75				n
y	475.81				y
a	475.91				a
pas	476.06				pa
de	476.24				də
soldats	476.405				solda
sans	477.31				sã
mères	477.87				mèʁə
Vitor	479.365				vitoʁ
totchà	481.42				tot͡ʃà
de	482.05				də
çala	482.16				sala
reponsa	482.39				ʁɛpõsa
l	483.26				l
at	483.53				a
feit	483.64				fej
lei	483.78				lej
baillier	483.91				baʎjɛʁ
des	484.57				də
souts	484.91				su
a	485.505				a
lieu	485.75				liə
etot	485.93				ɛto
Un	487.16				œ̃
coup	488.25				kup
	488.314			ku	
m	488.44				m
ant	488.47				ã
contâ	488.63				kõta
l	489.61				l
at	490.05				a
continuâ	490.11				kõtĩya
Vitorien	490.54				vitoʁiɛ̃
qu	491.3				k
un	491.6				œ̃
bateur	491.71				batəʁ
l	492.31				l
est	492.34				ɛs
derotchà	492.4				dɛʁot͡ʃà
d	492.87				d
un	492.96				œ̃
greup	493.09			ɡʁɵp	gʁəp
et	493.745				ɛtː
quand	494.15				kãd
l	494.43				l
ant	494.46				ã
acapâ	494.61				akapa
lo	495.04				lo
corp	495.18				koʁp
tot	495.945				to
defeit	496.35				dɛfej
lo	497.33				lo
Rei	497.8				ʁej
l	498.24				l
at	498.46				a
feit	498.6				fej
rembourser	499.0				ʁɛmbuʁsɛʁ
la	499.58				la
veva	499.69				vɛva
et	500.03				ɛtː
ses	500.15				sə
meinàs	500.25				mɛĩà
Lé	501.435				le
a	502.27				a
la	502.31				la
montagne	502.41				mõtaɲə
de	502.81				də
Djouan	503.0				dʒwã
l	503.6				l
at	503.84				a
repreis	503.95				ʁɛpʁej
la	504.25				la
parola	504.38				paʁola
Tounin	504.71				tunĩ
Dayné	505.71				dajne
contave	506.65				kõtavə
qu	507.09				k
un	507.12				œ̃
coup	507.18				kup
lo	507.43				lo
Rei	507.83				ʁej
lat	507.92				la
voulu	508.03				vuly
vére	508.68				veʁə
traailler	508.97				tʁaaʎɛʁ
lo	509.5				lo
lacé	509.61				lake
quand	510.335				kãd
beutoont	510.85				bətoõ
lo	511.33				lo
cail	511.46				kail
coment	512.15				komɛ̃
féjoont	512.73				feʒoõ
lo	513.29				lo
formadzo	513.4				foʁmadzo
L	514.03				l
ayet	514.485				ajɛtː
finque	515.05				fĩkə
feit	515.44				fej
baillier	515.68				baʎjɛʁ
cotsousa	515.99				kotsuza
is	516.9				i
berdjiers	517.19				bɛʁdʒjɛʁ
per	518.07				pɛʁ
les	518.41				lə
fére	518.5				feʁə
beuter	518.94				bətɛʁ
barer	519.41				baʁɛʁ
les	519.77				lə
vatses	519.8				vatsə
perqué	520.725				pɛʁke
lamave	522.105				lamavə
vére	522.85				veʁə
batailler	522.99				bataʎɛʁ
Ara	524.325				aʁa
preu	525.4				pʁə
toteun	525.58				totə̃
que	526.17				kə
l	526.37				l
est	526.48				ɛs
l	526.54				l
heura	526.57				əʁa
de	526.89				də
drumir	526.93				dʁymiʁ
Batista	528.025				batista
l	529.39				l
est	529.42				ɛs
alâ	529.51				ala
se	529.71				sə
djére	529.78				dʒeʁə
avouì	530.33				avuì
la	530.88				la
teta	530.94				tɛta
plena	531.27				plɛ̃a
de	531.78				də
çales	531.85				salə
contes	532.08				kõtə
et	532.82				ɛtː
çala	533.32				sala
neit	533.57				nej
l	533.9				l
at	533.98				a
sondjà	534.1				sõdʒà
que	534.7				kə
bien	534.76				biɛ̃
vito	535.25				vito
lo	536.07				lo
sin	536.5				sĩ
frére	536.76				fʁeʁə
Vitorien	537.04				vitoʁiɛ̃
sarie	537.6				saʁjə
venu	537.92				vɛ̃y
garda	538.13				gaʁda
et	538.89				ɛtː
qu	539.23				k
un	539.27				œ̃
dzor	539.41				dzoʁ
liu	539.82				ljy
etot	540.02				ɛto
fier	540.49				fjɛʁ
et	540.89				ɛtː
orgueilleus	540.97				oʁʒɛʎə
l	541.53				l
arie	541.56				aʁjə
servi	542.05				sɛʁvi
la	542.54				la
Meison	542.62				mejzõ
Royala	543.03				ʁoyala
coment	543.56				komɛ̃
garda	543.81				gaʁda
tsasse	544.1				tsasə
Se	545.19				sə
sondjier	545.99				sõdʒjɛʁ
vout	546.42				vu
dire	546.57				diʁə
etot	546.77				ɛto
avolonter	547.27				avolõtɛʁ
désirer	548.645				deʒʁɛʁ
l	549.38				l
ayet	549.41				ajɛtː
reison	549.5				ʁejzõ
Toteun	550.775				totə̃
nos	552.505				no
sens	553.01				sɛ̃
pâs	553.27				pa
incora	553.4				ĩkoʁa
lé	553.64				le
Per	553.76				pɛʁ
lo	554.78				lo
moment	555.99				momɛ̃
l	556.21				l
ayet	556.53				ajɛtː
tant	557.11				tã
d	557.31				d
atro	557.37				atʁə
à	557.61				à
decuvrir	557.64				dɛkyvʁiʁ
su	558.345				sy
la	558.66				la
tsasse	558.76				tsasə
les	559.56				lə
boquetins	559.96				bokɛtĩ
les	560.8				lə
batuyes	561.11				batyyə
les	561.93				lə
loups	562.25				lup
cerveillons	562.53				sɛʁvɛʎõ
tot	563.455				to
des	563.87				də
bagues	563.95				baʒə
que	564.36				kə
lo	564.41				lo
frére	564.61				fʁeʁə
et	564.9				ɛtː
lo	564.97				lo
papa	565.06				papa
l	565.42				l
ariant	565.51				aʁiã
contâ	565.87				kõta
lei	566.25				lej
lo	566.73				lo
long	567.07				lõg
de	567.28				də
la	567.32				la
promenada	567.47				pʁomɛ̃ada
que	568.25				kə
l	568.28				l
ayant	568.31				ajã
prometu	568.58				pʁomɛty
lei	569.03				lej
per	569.26				pɛʁ
lo	569.39				lo
meis	569.48				mej
de	569.7				də
jouin	569.8				ʒwĩ
devant	570.525				dɛvã
que	571.2				kə
Sent	571.27				sɛ̃
Bernard	571.38				bɛʁnaʁd
devant	572.49				dɛvã
que	573.19				kə
comenchier	573.24				komɛ̃ʃjɛʁ
la	574.16				la
seison	574.49				sejzõ
su	574.94				sy
en	575.08				ɛ̃
montagne	575.17				mõtaɲə
